date,airline,rating,content
2025-11-06,American Airlines,2,Very rude staff and had no curtesy to old age passengers. Return flight was cancelled with no explanation and prior notice. When arrived airport (DEL) they try to accommodate in different flights and change about 3 times. I had no time to wait and ask them to change me to United airlines to EWR which was flying at about same time but they refused and said united has no seats available and it’s too late to book as it was 10 pm and flight was at 11:55. I asked United counter that if they have any seats and if I can book a ticket now to board today’s flight. The attendant was so helpful and said yes. I did book with them and flew on time . I canceled my ticket with American Airlines and will try never to fly with them again. Agent at counter was getting rude saying if I don’t want to change to other airlines they suggested about 5 hours of waiting and one stop than I can wait till next day flight. No value of customers time and urgency. Only select American if you are retired and nothing to do at your destination.
2025-11-05,American Airlines,2,"I flew from LFT to CDG with a connection in Dallas. The first flight was delayed multiple times so I missed the connection and had to rebook. It happens. When I got to Paris on the rebooked flight, it was over an hour late. The problem is that I had a train reservation and had to change the reservation, which costs money. Then I had to book an entirely new train due to the delay. AA said they would reimburse up to 200 USD, which does not cover the cost of these changes, then they came back again and said they wouldn't. I'll be sure not to book with them again. Better to go with United or Delta."
2025-11-04,American Airlines,1,"Don't travel with American Airlines if: - You have somewhere to be at a specific time if It's an vacation / event / holiday / work trip. I departed Nov 3, 2025 on flight AA 2325 from CHS to DFW leaving around 4:00pm PST, about 40 minutes after the scheduled 3:21pm departure time. Not a big issue. My connecting flight from DFW to SFO was flight AA 1430 departing at 7pm. However, American Airlines app did ping me saying that I could adjust my flight and take a later flight for no charge due to the delay. Very nice of them, right? I decided to hold because after reaching cruising altitude, the pilot informed us that we'd land at 5:45pm - plenty of time to make my 7pm flight. So as we're approaching DFW, I get more notifications from the AA app that they're offering travel credits - up to $650 - to take a later flight because they overbooked the flight I was connecting to. Having work meetings early all day the next day, I really didn't want to take the next flight getting me in at midnight PST (3am EST - where I was traveling from).  we land at DFW at 5:45pm - as the pilot mentioned, and they say we ""don't have a gate"". We proceed to sit there, and sit there. At 6:15pm (5 minutes before my flight starts boarding) I flagged down a steward to ask if the pilot and crew have informed DFW that we're still waiting on a gate and trying to make our connecting flights. He just smiled at me and said they're doing the best they can. At 6:30PM we started deplaning. I'm only one terminal away - going from Gate A28 to Gate B9 (which is right off the escalator stairs) I sprint to the train, to the gate and arrive at 6:53pm. And of course, they had the boarding doors closed without an agent insight. So I had to go thru the trouble of rebooking the flight, contacting AA, and then get a flight 3 hours later because they 1) didn't want to give flight credits and 2) oversold the connecting flight. Here's the kicker, I had paid for a better seat for the flight they overbooked. Didn't apologize, didn't reach out post, and didn't even offer to refund the price of the seat. Thank God for Delta."
2025-11-03,American Airlines,1,"I’ve flown with this airline many times, and every trip starts the same way with hope. I book my ticket, plan my schedule, and trust that things will go smoothly. Then the email comes: Your flight has been canceled. It has become a pattern. Every time I book, the flight disappears from the schedule, and I’m left scrambling to rebook. The worst part is that the new flight always costs more. It feels like I’m being punished for their mistake. I spend hours on the phone waiting for someone to help. The agents are polite, but there is no real solution. They offer credits or apologies, but the price difference is on me. A refund does not help when I still need to travel and every replacement flight is more expensive. Each cancellation throws my plans into chaos. I have missed meetings, lost reservations, and added stress. Travel should not feel like this. Customers deserve honesty, fair prices, and reliable service. I am not asking for perfection, only consistency. If the airline cancels a flight, it should honor the original price when we rebook. That is fair. That is decent. Until that happens, I will think twice before booking again."
2025-10-23,American Airlines,1,"We flew with AA for the first time since the 90's LHR to CLT and upon arrival at CLT we went to get our cases. They came out and look as if someone had run them over. We approached the American Airlines staff who were seated by the luggage belt and they too were shocked and confirmed this was unacceptable. Their advice was to take photos as evidence along with a photo of the luggage belt as we could not raise our complaint claim until we reach our final destination (TYS) via flight AA3119 from (CLT to TYS). They were kind enough to aid us in taking the photo's to ensure they were sufficient for the claim. At McGhee Tyson Airport in Knoxville (TYS) initially the American Airlines baggage office was closed, however after waiting and asking several staff members at the airport someone arrived and took us through the process. We both filled out a PIR form (or complaint procedure via the QR code as provided by the American Airlines staff member) and thought that would be all that was required as again the staff member there told us that the cases look bad and were clearly miss treated so we left for the hotel in out hire car. Shockingly it seemed as if the claims had not even been looked at as the next morning we woke to two emails (received through the night) saying that the review of the files is complete and that they don’t cover, and I quote “minor scratches, stains or dents”. Obviously we very unhappy with the replies and got onto the American Airlines Chat service via their app where I was asked to submit my refusal of this decision via another form. After about 1.5hrs chatting we finally finished this and the new claims were raised on 09/09/2025. We submitted all the same evidence and the chat conscript as additional evidence as we were advised they would get in touch asap as they need to look into things better. To our surprise American Airlines never replied. We finished a 10 day holiday, flew home and still nothing. I emailed their complaints dept and cc'd their CEO office and was ignored again. They really are a disgusting company who take no accountability for their actions. We will never fly with this airline again, I would rather a 4hr drive than use them and a connecting flight."
2025-10-13,American Airlines,1,"We recently traveled on American Airlines with our two grandchildren, ages 1 and 3. It was a nightmare. We were diverted to another airport due to the pilot ""timing out"". We waited on the tarmac for 1.5 hrs. for a new one to show. By this time, our original destination had closed customs so they sent us into this airport for customs at 11:00 pm. The airport wasn't expecting this flight so they didn't know where our luggage was and didn't have our names in the system to reboard. Another two hours on the tarmac and we felt we were going to leave when they announced the flight attendents had now ""timed out"" and we would have to wait for a new crew. During our 6 hours on the tarmac, they could not provide water or snacks because the flight was not expected to be there and they couldn't get supplies ""restocked""? All the babies on the flight were crying, one lady passed out and the passengers were crying. By the time we got to our actual destination airport (9 hours after taking off) the airport was a ghost town and we couldn't get our luggage including the babies car seats! Therefore we couldn't go anywhere to get a room to sleep - it was 2 am! Needless to say, I contacted the airline for a refund and went through many rejections to get to the top of the customer service department and all they would give me was 7,500 points/miles."
2025-10-09,American Airlines,1,"London to Austin with British Airways. American Airlines promised me a refund and then made it imposssible for customers to contact them. The only phone number AA will give you is to book a flight. All other contacts are thru forms online or email. If you comply, they just ignore you.. There is no way to contact them. They owe me money, but I don't know how to contact them. They do not allow you to call the right departments."
2025-10-07,American Airlines,7,"Flight AA3102 - Logan Boston to DFW - A321 - seats 34a & 34b. Second return flight with AA for connection to DFW - Syd. Newer and much improved A321 aircraft (from outbound on older A320). Fantastic service from gate attendant at Boston to accommodate having side by side seating from assigned separate seating - full aircraft. Ground services and boarding well organised and group boarding enforced. The A321 is a significant improvement on the A320, much newer and aesthetically more pleasing environment, - seating better & more comfortable, seat back better for devices, similar good leg spacing, vastly improved overhead storage with bigger bins so less hassle with carry on luggage. Flight crew again very good but no quite as personable as out bound funny ladies. Again AA provided light refreshments with good variety of beverages (including alcohol) Moose Beer etc and small selection of snacks. Ordered from the very limited additional cost menu and snack was nice. AA's on board free wifi entertainment suite was again pretty good and worked flawlessly. Slight flight delay out of Boston but to AA's credit arrived safely and on time at DFW. Again overall great service from AA and substantial improvement over first leg. Would be happy to use AA for similar shorter flights (especially if on A321)."
2025-10-04,American Airlines,3,"Awful airline. Seats incredibly cramped, both for leg room and width. Staff rude and inattentive. Online check in didn’t work so unable to select seats. Preordered veggie meal not available. It was cheap though and on time."
2025-10-02,American Airlines,2,"Do not fly with American Airlines! I went to Jamaica from Sept 26 to Sept 30 for my boyfriend's birthday. They destroyed my luggage and broke two wheels and ripped my boyfriend's luggage, and not only are they refusing to pay for the damages, but they are making the process for receiving a travel credit or some type of reimbursement impossible. We've had our bags for over a decade, so there's no receipt or bank statement available. I am not giving up, but this was absolutely ridiculous. Save yourself the trouble and book a flight with another airline!"
